ID	STATUS	CHEBI_ACCESSION	SOURCE	PARENT_ID	NAME	DEFINITION	MODIFIED_ON	CREATED_BY	STAR
69	2631	Selaginella davidii	NCBI:txid417315	null	null	null	null	PubMed Id	11256492	null
70	2631	Cupressus cashmeriana	NCBI:txid187464	null	null	null	null	DOI	10.1021/np50051a032	null
71	2631	Hypericum perforatum	NCBI:txid65561	null	null	null	null	PubMed Id	16084098	null
72	2631	Cycas rumphii	NCBI:txid58031	null	null	null	null	PubMed Id	15130600	null
73	2631	Selaginella uncinata	NCBI:txid307165	null	null	null	null	PubMed Id	11256492	null
74	2631	Taxodium mucronatum	NCBI:txid99812	null	null	null	null	PubMed Id	16084098	null
75	2631	Selaginella sinensis	NCBI:txid137174	null	null	null	null	PubMed Id	11256492	null
76	2631	Selaginella doederleinii	NCBI:txid186426	null	null	null	null	PubMed Id	11256492	null
77	65404	Amomum aculeatum	NCBI:txid1076729	leaf	BTO:0000713	null	null	PubMed Id	18260638	null
78	65405	Amomum aculeatum	NCBI:txid1076729	leaf	BTO:0000713	null	null	PubMed Id	18260638	null
79	28429	Ampelopsis cantoniensis	NCBI:txid345095	root	BTO:0001188	null	null	PubMed Id	17059013	null
80	65406	Ancistrocladus tanzaniensis	NCBI:txid714107	leaf	BTO:0000713	null	null	PubMed Id	14510589	null
81	65407	Ancistrocladus tanzaniensis	NCBI:txid714107	leaf	BTO:0000713	null	null	PubMed Id	14510589	null
82	65408	Andrographis paniculata	NCBI:txid175694	root	BTO:0001188	null	null	PubMed Id	15894448	null
83	65408	Andrographis paniculata	NCBI:txid175694	leaf	BTO:0000713	null	null	PubMed Id	15894448	null
84	65409	Annona montana	NCBI:txid49857	trunk bark	BTO:0001494	null	null	DOI	10.1039/P19820001205	null
85	65409	Annona montana	NCBI:txid49857	root	BTO:0001188	null	null	DOI	10.1039/P19820001205	Previous component: root bark;
86	65409	Annona foteida	IPNI:72204-1	bark	BTO:0001301	null	null	PubMed Id	16499336	null
87	65410	Anogeissus acuminata	NCBI:txid155018	stem	BTO:0001300	null	null	PubMed Id	7525878	Ground stem
88	65411	Anogeissus acuminata	NCBI:txid155018	stem	BTO:0001300	null	null	PubMed Id	7525878	Ground stem
89	65412	Streptomyces sp.	NCBI:txid1931	null	null	USF 4727	null	PubMed Id	18776684	null
90	65413	Streptomyces sp.	NCBI:txid1931	null	null	K01-0031	null	PubMed Id	15813185	null
91	65414	Taiwanofungus camphoratus	NCBI:txid196114	null	null	null	null	PubMed Id	17559265	Parasitic fungi on fruiting body of Cinnamomum kanehirai
92	65415	Taiwanofungus camphoratus	NCBI:txid196114	mycelium	BTO:0001436	null	null	PubMed Id	17932820	Fermented Mycelium
93	65416	Aplysia kurodai	NCBI:txid6501	null	null	null	null	PubMed Id	11302194	null
94	65417	Aplysinella	NCBI:txid283412	null	null	null	null	PubMed Id	18401846	null
95	65418	Aplysinopsis digitata	WORMS:190040	null	null	null	null	PubMed Id	18461996	null
96	65419	Aplysinopsis digitata	WORMS:190040	null	null	null	null	PubMed Id	18461996	null
97	65420	Aplysinopsis digitata	WORMS:190040	null	null	null	null	PubMed Id	18461996	null
98	65421	Lyngbya majuscula	NCBI:txid158786	null	null	null	null	PubMed Id	18444683	null
99	65421	Lyngbya sordida	NCBI:txid748015	null	null	null	null	PubMed Id	18444683	null
100	35212	Lyngbya majuscula	NCBI:txid158786	null	null	null	null	PubMed Id	11389621	null
101	35212	Lyngbya bouillonii	NCBI:txid207920	null	null	PS372	null	PubMed Id	18461997	null
102	65422	Lyngbya bouillonii	NCBI:txid207920	null	null	PS372	null	PubMed Id	18461997	null
103	65423	Ardisia japonica	NCBI:txid276775	whole plant	BTO:0001461	null	null	PubMed Id	17397219	null
104	65424	Ardisia pusilla	NCBI:txid587403	whole plant	BTO:0001461	null	null	PubMed Id	19039733	null
105	65425	Ardisia japonica	NCBI:txid276775	whole plant	BTO:0001461	null	null	PubMed Id	17243725	null
106	65426	Ardisia japonica	NCBI:txid276775	whole plant	BTO:0001461	null	null	PubMed Id	17243725	null
107	65427	Ardisia japonica	NCBI:txid276775	whole plant	BTO:0001461	null	null	PubMed Id	17243725	null
108	65428	Ardisia japonica	NCBI:txid276775	whole plant	BTO:0001461	null	null	PubMed Id	17243725	null
109	65429	Ardisia japonica	NCBI:txid276775	whole plant	BTO:0001461	null	null	PubMed Id	17243725	null
110	65430	Ardisia colorata	NCBI:txid1009002	fruit	BTO:0000486	null	null	PubMed Id	11767097	Dried fruit
111	65431	Ardisia colorata	NCBI:txid1009002	fruit	BTO:0000486	null	null	PubMed Id	11767097	Dried fruit
112	65432	Ardisia colorata	NCBI:txid1009002	fruit	BTO:0000486	null	null	PubMed Id	11767097	Dried fruit
113	65433	Salinispora arenicola	NCBI:txid168697	null	null	null	null	PubMed Id	19117399	null
114	65434	Salinispora arenicola	NCBI:txid168697	null	null	null	null	PubMed Id	19117399	null
115	65435	Penicillium	NCBI:txid5073	null	null	FO 4259	null	PubMed Id	7649881	null
116	65436	Penicillium	NCBI:txid5073	null	null	FO 4259	null	PubMed Id	7649881	null
117	65437	Penicillium	NCBI:txid5073	null	null	FO 4259-11	null	PubMed Id	10724008	UV irradiation induced mutant of Penicillium FO4259
118	65438	Penicillium	NCBI:txid5073	null	null	FO 4259-11	null	PubMed Id	10724008	UV irradiation induced mutant of Penicillium FO4259
119	65439	Artocarpus	NCBI:txid3488	xylem	BTO:0001468	null	null	Article	J SCI IND RES,1956,15B,183	Previous component: wood;
120	65439	Artocarpus heterophyllus	NCBI:txid3489	root	BTO:0001188	null	null	DOI	10.1016/0031-9422(95)00135-T	null
121	65439	Artocarpus chama	NCBI:txid709040	root	BTO:0001188	null	null	PubMed Id	15165133	null
122	65440	Artocarpus chama	NCBI:txid709040	root	BTO:0001188	null	null	PubMed Id	15165133	null
123	65441	Artocarpus elasticus	NCBI:txid709042	xylem	BTO:0001468	null	null	PubMed Id	19280147	Previous component: wood;
124	65442	Artocarpus lanceifolius	NCBI:txid709049	bark	BTO:0001301	null	null	PubMed Id	12490227	null
125	65443	Penicillium asperosporum	NCBI:txid70097	null	null	KY 1635	null	DOI	10.1016/S0040-4039(01)92051-9	null
126	65444	Penicillium purpurogenum	NCBI:txid28575	null	null	FO 6081	null	PubMed Id	2010354	null
127	65445	Penicillium asperosporum	NCBI:txid70097	null	null	KY 1635	null	PubMed Id	8119857	null
128	65446	Penicillium asperosporum	NCBI:txid70097	null	null	KY 1635	null	PubMed Id	8119857	null
129	65447	Penicillium asperosporum	NCBI:txid70097	null	null	KY 1635	null	PubMed Id	8119857	null
130	65448	Aplidium	NCBI:txid201956	null	null	null	null	PubMed Id	17497807	null
131	65449	Aplidium	NCBI:txid201956	null	null	null	null	PubMed Id	17497807	null
132	65450	Aspergillus ostianus	NCBI:txid138279	null	null	01F313	null	PubMed Id	18078344	null
133	65451	Aspergillus ostianus	NCBI:txid138279	null	null	01F313	null	PubMed Id	1807834	null
134	65452	Aspergillus ostianus	NCBI:txid138279	null	null	01F313	null	PubMed Id	18078344	null
135	65453	Asphodelus microcarpus	IPNI:531525-1	root	BTO:0001188	null	null	PubMed Id	17253862	null
136	65453	Asphodelus microcarpus	IPNI:531525-1	bulb	BTO:0000159	null	null	PubMed Id	17253862	null
137	65454	Asphodelus microcarpus	IPNI:531525-1	root	BTO:0001188	null	null	PubMed Id	17253862	null
138	65454	Asphodelus microcarpus	IPNI:531525-1	bulb	BTO:0000159	null	null	PubMed Id	17253862	null
139	65455	Ilex asprella	NCBI:txid185493	leaf	BTO:0000713	null	null	PubMed Id	8133297	null
140	65456	Ilex asprella	NCBI:txid185493	leaf	BTO:0000713	null	null	PubMed Id	8133297	null
141	65457	Astragalus membranaceus	NCBI:txid649199	root	BTO:0001188	null	null	DOI	10.1021/np50075a009	null
142	65458	Aureobasidium	NCBI:txid5579	null	null	null	null	PubMed Id	11213290	null
143	65459	Sporormiella australis	NCBI:txid55178	null	null	MF5672	null	PubMed Id	7797434	null
144	65460	Foeniculum vulgare	NCBI:txid48038	leaf	BTO:0000713	null	null	DOI	10.1016/S0031-9422(00)94055-X	null
145	65460	Berchemia floribunda	IPNI:716685-1	null	null	null	null	DOI	10.1002/cbdv.200690067	null
146	65460	Viscum album	NCBI:txid3972	twig	BTO:0001411	null	null	PubMed Id	9179367	null
147	65460	Rhododendron dauricum	NCBI:txid880079	whole plant	BTO:0001461	null	null	DOI	10.1007/BF02329610	null
148	65460	Hypericum hyssopifolium	IPNI:433504-1	aerial part	BTO:0001658	null	null	PubMed Id	12787957	null
149	65460	Polygonum aviculare	NCBI:txid137693	whole plant	BTO:0001461	null	null	DOI	10.1016/S1572-557X(05)02007-6	null
150	65460	Prunus serotina	NCBI:txid23207	null	null	null	null	Article	ACTA POLONIAE PHARMACEUTICA - DRUG RESEARCH,2005,62,2,127	null
151	65460	Pyrola elliptica	NCBI:txid93825	null	null	null	null	DOI	10.1016/S0031-9422(97)00878-9	null
152	65460	Filipendula ulmaria	NCBI:txid57917	leaf	BTO:0000713	null	null	DOI	10.1007/s10600-006-0064-z	null
153	65460	Rumex crispus	NCBI:txid174649	leaf	BTO:0000713	null	null	DOI	10.1002/ardp.19542870405	null
154	65460	Rhododendron brachycarpum	NCBI:txid118365	leaf	BTO:0000713	null	null	DOI	10.1007/BF02856638	null
155	65460	Psidium guajava	NCBI:txid120290	leaf	BTO:0000713	null	null	DOI	10.1016/j.foodchem.2010.03.088	null
156	65460	Juglans regia	NCBI:txid51240	leaf	BTO:0000713	null	null	Article	CHINESE PHARMACEUTICAL JOURNAL,2009,44,7,496	null
157	65460	Chaenomeles sinensis	NCBI:txid36622	null	null	null	null	PubMed Id	14600382	null
158	65460	Reynoutria sachalinensis	NCBI:txid76036	flower	BTO:0000469	null	null	DOI	10.1007/BF02975130	null
159	65460	Vaccinium vitisidaea var. minus	NCBI:txid180772	leaf	BTO:0000713	null	null	PubMed Id	17177509	null
160	65461	Bacillus cereus	NCBI:txid1396	null	null	NR2991	null	PubMed Id	8071129	null
161	65462	Ballota limbata	IPNI:444966-1	whole plant	BTO:0001461	null	null	PubMed Id	15056960	null
162	65463	Ballota limbata	IPNI:444966-1	whole plant	BTO:0001461	null	null	PubMed Id	15056960	null
163	65464	Impatiens balsamina	NCBI:txid63779	aerial part	BTO:0001658	null	null	PubMed Id	12033510	null
164	65465	Beauveria bassiana	NCBI:txid176275	null	null	K 717	null	PubMed Id	8557595	null
165	65466	Batzella	ITIS:659394	null	null	null	null	DOI	10.1021/jo00110a021	null
166	65467	Batzella	ITIS:659394	null	null	null	null	DOI	10.1021/jo00110a021	null
167	65468	Bauhinia saccocalyx	IPNI:481650-1	root	BTO:0001188	null	null	DOI	10.1002/hlca.200490006	null
168	65469	Bauhinia saccocalyx	IPNI:481650-1	root	BTO:0001188	null	null	DOI	10.1002/hlca.200490006	null
169	65470	Bauhinia purpurea	NCBI:txid3806	root	BTO:0001188	null	null	PubMed Id	17480099	null
170	65471	Bauhinia purpurea	NCBI:txid3806	root	BTO:0001188	null	null	PubMed Id	17480099	null
171	65472	Bauhinia purpurea	NCBI:txid3806	root	BTO:0001188	null	null	PubMed Id	17480099	null
172	65473	Rhizoctonia solani	NCBI:txid456999	null	null	F23372	null	PubMed Id	8175480	null
173	65474	Streptomyces violaceusniger	NCBI:txid68280	null	null	null	null	PubMed Id	8557611	null
174	65475	Streptomyces sp.	NCBI:txid1931	null	null	A54238	null	PubMed Id	10724004	null
175	65476	Streptomyces sp.	NCBI:txid1931	null	null	A54238	null	PubMed Id	10724004	null
176	3008	Swertia punctata	IPNI:371052-1	null	null	null	null	DOI	10.1016/S0031-9422(02)00231-5	null
177	3008	Swertia petiolata	NCBI:txid39380	null	null	null	null	Article	ACTA CIENC INDICA SER GEM,1981,7,31	null
178	3008	Gentianella campestris	NCBI:txid49940	null	null	null	null	DOI	10.1002/hlca.19740570831	null
179	3008	Swertia speciosa	IPNI:371090-1	null	null	null	null	DOI	10.1016/0031-9422(88)80481-3	null
180	3008	Gentiana algida	NCBI:txid50748	null	null	null	null	DOI	10.1007/BF00630190	null
181	3008	Swertia franchetiana	NCBI:txid50785	null	null	null	null	DOI	10.1016/j.bse.2004.02.008	null
182	3008	Swertia chirata	IPNI:60447539-2	null	null	null	null	DOI	10.1107/S1600536804009171	null
183	3008	Swertia japonica	NCBI:txid137129	null	null	null	null	DOI	10.1016/0031-9422(90)80122-W	null
184	3008	Swertia ciliata	NCBI:txid166614	null	null	null	null	Article	J CHEM SOC PAK,2000,22,122	null
185	3008	Gentiana bellidifolia	IPNI:367849-1	null	null	null	null	DOI	10.1016/S0040-4020(01)98434-0	null
186	3008	Swertia paniculata	NCBI:txid559637	null	null	null	null	PubMed Id	20614821	null
187	65478	Swertia punctata	IPNI:371052-1	null	null	null	null	DOI	10.1016/S0031-9422(02)00231-5	null
188	65478	Gentiana germanica	IPNI:368223-1	null	null	null	null	DOI	10.1016/S0031-9422(00)89285-7	null
189	65478	Gentiana ramosa	IPNI:368797-1	null	null	null	null	DOI	10.1016/S0031-9422(00)89285-7	null
190	65478	Swertia japonica	NCBI:txid137129	null	null	null	null	DOI	10.1248/cpb.30.4088	null
191	65478	Swertia purpurascens	IPNI:371054-1	null	null	null	null	PubMed Id	4527698	null
192	65478	Swertia perennis	NCBI:txid39379	null	null	null	null	DOI	1002/hlca.19760590517	null
193	65478	Swertia macrosperma	NCBI:txid137130	null	null	null	null	PubMed Id	2239318	null
194	65478	Swertia cincta	NCBI:txid149059	null	null	null	null	DOI	10.1002/cbdv.200490123	null
195	65478	Swertia calycina	NCBI:txid166613	null	null	null	null	DOI	10.1002/cbdv.200490123	null
196	65478	Swertia nervosa	NCBI:txid363513	null	null	null	null	DOI	10.1002/cbdv.200490123	null
197	65478	Gentianella campestris	NCBI:txid49940	null	null	null	null	PubMed Id	15490334	null
198	65478	Swertia pubescens	NCBI:txid166623	null	null	null	null	DOI	10.1002/cbdv.200490123	null
199	65478	Swertia fasciculata	IPNI:968989-1	null	null	null	null	DOI	10.1002/cbdv.200490123	null
200	65478	Swertia punicea	NCBI:txid137131	null	null	null	null	DOI	10.1002/cbdv.200490123	null
201	65478	Swertia bimaculata	NCBI:txid148627	null	null	null	null	DOI	10.1002/cbdv.200490123	null
202	65478	Swertia chirata	IPNI:60447539-2	null	null	null	null	DOI	10.1248/cpb.30.4088	null
203	65478	Swertia angustifolia	NCBI:txid166611	null	null	null	null	Article	INDIAN J CHEM,1980,19B, 10, 929	null
204	65479	Swertia japonica	NCBI:txid137129	null	null	null	null	PubMed Id	10353265	null
205	65480	Swertia japonica	NCBI:txid137129	null	null	null	null	DOI	10.1007/BF02675902	null
206	65480	Gentianella campestris	NCBI:txid49940	null	null	null	null	PubMed Id	15490334	null
207	65480	Gentiana bellidifolia	IPNI:367849-1	null	null	null	null	DOI	10.1016/S0040-4020(01)98434-0	null
208	65480	Swertia erythrosticum	NCBI:txid39241	null	null	null	null	Article	ZHIWU XUEBAO,1992,34,886	null
209	65480	Iris nigricans	NCBI:txid995810	null	null	null	null	DOI	10.1016/0031-9422(94)00641-6	null
210	65480	Swertia nervosa	NCBI:txid363513	null	null	null	null	Article	YAKUGAKU ZASSHI,1974,94,647	null
211	65480	Swertia lawii	IPNI:370960-1	null	null	null	null	DOI	10.1016/S0031-9422(00)98635-7	null
212	65480	Swertia purpurascens	IPNI:371054-1	null	null	null	null	PubMed Id	1133711	null
213	65480	Swertia hookeri	IPNI:370932-1	null	null	null	null	DOI	10.1016/0031-9422(80)85027-8	null
214	65480	Swertia gracilescens	IPNI:370915-1	null	null	null	null	Article	YAKUGAKU ZASSHI,1974,94,647	null
215	65480	Gentiana lacteal	NCBI:txid21496	null	null	null	null	PubMed Id	3174858	null
216	65480	Gentiana ramosa	IPNI:368797-1	null	null	null	null	DOI	10.1016/S0031-9422(00)89285-7	null
217	65480	Swertia racemosa	NCBI:txid137132	null	null	null	null	Article	YAKUGAKU ZASSHI,1974,94,647	null
218	65480	Swertia dilatata	NCBI:txid559635	null	null	null	null	Article	YAKUGAKU ZASSHI,1974,94,647	null
219	65480	Gentiana strictiflora	IPNI:368974-1	null	null	null	null	DOI	10.1016/S0031-9422(00)84162-X	null
220	65480	Swertia davidi	IPNI:370864-1	null	null	null	null	PubMed Id	15234768	null
221	65480	Swertia macrosperma	NCBI:txid137130	null	null	null	null	DOI	10.1016/0031-9422(89)80400-5	null
222	65480	Swertia chirata	IPNI:60447539-2	null	null	null	null	PubMed Id	4712626	null
223	7638	Gentiana ramosa	IPNI:368797-1	null	null	null	null	DOI	10.1016/S0031-9422(00)89285-7	null
224	7638	Gentiana germanica	IPNI:368223-1	null	null	null	null	DOI	10.1016/S0031-9422(00)89285-7	null
225	7638	Gentianella campestris	NCBI:txid49940	null	null	null	null	PubMed Id	15490334	null
226	7638	Swertia randaiensis	IPNI:371063-1	null	null	null	null	Article	INDIAN J CHEM,1980,19B,10,929	null
227	7638	Swertia japonica	NCBI:txid137129	null	null	null	null	DOI	10.1248/cpb.30.4088	null
228	65482	Streptomyces prunicolor	NCBI:txid67348	mycelium	BTO:0001436	1884 SVT2	null	DOI	10.1021/np50098a008	null
229	65483	Streptomyces nitrosporeus	NCBI:txid28894	null	null	30643	null	PubMed Id	8609080	null
230	65484	Syzygium claviflorum	NCBI:txid219860	leaf	BTO:0000713	null	null	PubMed Id	8176401	null
231	65485	Syzygium claviflorum	NCBI:txid219860	leaf	BTO:0000713	null	null	PubMed Id	8176401	null
232	65486	Syzygium claviflorum	NCBI:txid219860	leaf	BTO:0000713	null	null	PubMed Id	8176401	null
233	65487	Syzygium claviflorum	NCBI:txid219860	leaf	BTO:0000713	null	null	PubMed Id	8176401	null
234	65488	Baeckea frutescens	NCBI:txid199392	leaf	BTO:0000713	null	null	DOI	10.1016/S0031-9422(98)00534-2	null
235	65489	Baeckea frutescens	NCBI:txid199392	leaf	BTO:0000713	null	null	DOI	10.1016/S0031-9422(98)00534-2	null
236	65490	Baeckea frutescens	NCBI:txid199392	leaf	BTO:0000713	null	null	DOI	10.1016/S0031-9422(98)00534-2	null
237	3087	Syzygium claviflorum	NCBI:txid219860	leaf	BTO:0000713	null	null	PubMed Id	8176401	null
238	65492	Polyalthia debilis	NCBI:txid235800	root	BTO:0001188	null	null	PubMed Id	12762793	null
239	65493	Polyalthia debilis	NCBI:txid235800	root	BTO:0001188	null	null	PubMed Id	12762793	null
240	65494	Bidens parviflora	IPNI:185131-1	whole plant	BTO:0001461	null	null	PubMed Id	16880667	null
241	65495	Bidens parviflora	IPNI:185131-1	whole plant	BTO:0001461	null	null	PubMed Id	16880667	null
242	65496	Ecklonia cava	NCBI:txid105407	null	null	null	null	PubMed Id	19201199	null
243	65497	Pseudopterogorgia kallos	ITIS:52263	null	null	null	null	PubMed Id	15128261	null
244	65498	Boronia bipinnata	IPNI:771577-1	aerial part	BTO:0001658	null	null	PubMed Id	18662038	null
245	65499	Boronia bipinnata	IPNI:771577-1	aerial part	BTO:0001658	null	null	PubMed Id	18662038	null
246	65500	Gastrodia elata	NCBI:txid91201	null	null	null	null	PubMed Id	17381154	null
247	65500	Pleuropterus ciliinervis	IPNI:695248-1	root	BTO:0001188	null	null	PubMed Id	17851433	null
248	65501	Gastrodia elata	NCBI:txid91201	tuber	BTO:0001400	null	null	PubMed Id	15180301	null
249	65502	Curcuma domestica	NCBI:txid136217	rhizome	BTO:0001181	null	null	DOI	10.1016/0031-9422(93)85548-6	Fresh rhizome
250	65502	Etlingera elatior	NCBI:txid188493	rhizome	BTO:0001181	null	null	PubMed Id	15730265	null
251	65503	Etlingera elatior	NCBI:txid188493	rhizome	BTO:0001181	null	null	PubMed Id	15730265	null
252	65504	Lissoclinum bistratum	NCBI:txid322849	null	null	null	null	PubMed Id	12608858	null
253	65505	Lissoclinum bistratum	NCBI:txid322849	null	null	null	null	PubMed Id	12608858	null
254	65506	Lissoclinum bistratum	NCBI:txid322849	null	null	null	null	PubMed Id	12608858	null
255	65507	Lissoclinum bistratum	NCBI:txid322849	null	null	null	null	PubMed Id	12608858	null
256	65508	Lissoclinum bistratum	NCBI:txid322849	null	null	null	null	PubMed Id	12608858	null
257	65509	Lissoclinum bistratum	NCBI:txid322849	null	null	null	null	PubMed Id	12608858	null
259	65511	Calophyllum blancoi	NCBI:txid667324	root	BTO:0001188	null	null	PubMed Id	15684529	null
